PropertyID,Date,RentalIncome,Expenses
P0001,01-01-2023,27322,4181
P0001,01-02-2023,29793,3040
P0001,01-03-2023,26556,7041
P0001,01-04-2023,17807,11080
P0001,01-05-2023,21749,10191
P0001,01-06-2023,29086,8994
P0001,01-07-2023,8312,2824
P0001,01-08-2023,29731,11519
P0001,01-09-2023,7141,8919
P0001,01-10-2023,23870,3310
P0001,01-11-2023,10588,4423
P0001,01-12-2023,9301,11906
P0001,01-01-2024,24570,10405
P0001,01-02-2024,26361,5768
P0001,01-03-2024,8748,6349
P0001,01-04-2024,13435,5209
P0001,01-05-2024,29657,8119
P0001,01-06-2024,29031,10586
P0001,01-07-2024,13576,11650
P0001,01-08-2024,23456,8030
P0001,01-09-2024,14188,2004
P0001,01-10-2024,5214,3031
P0001,01-11-2024,27960,2323
P0001,01-12-2024,21312,6529
P0002,01-01-2023,17428,1633
P0002,01-02-2023,6105,5127
P0002,01-03-2023,16972,7816
P0002,01-04-2023,5852,6410
P0002,01-05-2023,24559,6848
P0002,01-06-2023,29826,7690
P0002,01-07-2023,21640,4876
P0002,01-08-2023,9645,4986
P0002,01-09-2023,23968,11088
P0002,01-10-2023,15829,9553
P0002,01-11-2023,7330,4203
P0002,01-12-2023,12662,9620
P0002,01-01-2024,11114,2853
P0002,01-02-2024,14975,6563
P0002,01-03-2024,28933,9075
P0002,01-04-2024,4667,5968
P0002,01-05-2024,13337,8319
P0002,01-06-2024,7719,4245
P0002,01-07-2024,11483,2039
P0002,01-08-2024,8964,6335
P0002,01-09-2024,24159,7542
P0002,01-10-2024,18837,8602
P0002,01-11-2024,11312,6820
P0002,01-12-2024,17216,7632
P0003,01-01-2023,28275,4279
P0003,01-02-2023,21308,3081
P0003,01-03-2023,28098,4824
P0003,01-04-2023,16677,7213
P0003,01-05-2023,27410,1755
P0003,01-06-2023,8804,3338
P0003,01-07-2023,14136,1509
P0003,01-08-2023,23255,10489
P0003,01-09-2023,27793,8918
P0003,01-10-2023,9124,2515
P0003,01-11-2023,6193,9915
P0003,01-12-2023,17550,8949
P0003,01-01-2024,8158,5425
P0003,01-02-2024,10970,8438
P0003,01-03-2024,25168,5500
P0003,01-04-2024,22017,11844
P0003,01-05-2024,11266,10202
P0003,01-06-2024,4384,1904
P0003,01-07-2024,12175,3500
P0003,01-08-2024,13860,7489
P0003,01-09-2024,19106,2960
